"Date","Price","Open","High","Low","Vol.","Change %"
"01/01/2008","32.60","35.79","35.96","31.04","1.95B","-8.43%"
"12/01/2007","35.60","33.50","36.72","32.63","1.07B","5.95%"
"11/01/2007","33.60","36.53","37.50","32.68","1.83B","-8.72%"
"10/01/2007","36.81","29.46","37.00","29.29","1.77B","24.95%"
"09/01/2007","29.46","28.50","29.85","28.27","1.12B","2.54%"
"08/01/2007","28.73","28.95","30.10","27.51","1.23B","-0.90%"
"07/01/2007","28.99","29.67","31.84","28.95","1.30B","-1.63%"
"06/01/2007","29.47","30.79","30.90","29.04","1.19B","-3.98%"
"05/01/2007","30.69","29.94","31.16","29.90","1.33B","2.51%"
"04/01/2007","29.94","27.89","30.74","27.56","966.27M","7.43%"
"03/01/2007","27.87","27.82","28.55","26.60","1.28B","-1.06%"
"02/01/2007","28.17","30.84","30.94","27.79","1.29B","-8.72%"
"01/01/2007","30.86","29.91","31.48","29.40","1.33B","3.35%"
"12/01/2006","29.86","29.23","30.26","28.80","1.14B","1.70%"
"11/01/2006","29.36","28.78","30.00","28.58","1.24B","2.26%"
"10/01/2006","28.71","27.32","28.85","27.15","1.29B","4.97%"
"09/01/2006","27.35","25.89","27.52","25.39","1.10B","6.42%"
"08/01/2006","25.70","24.02","26.25","23.85","1.13B","6.82%"
"07/01/2006","24.06","23.53","24.60","22.23","1.33B","3.26%"
"06/01/2006","23.30","22.74","23.65","21.46","1.98B","2.87%"
"05/01/2006","22.65","24.32","25.00","22.45","2.32B","-6.21%"
"04/01/2006","24.15","27.67","27.94","24.00","1.45B","-11.25%"
"03/01/2006","27.21","26.98","28.22","26.62","1.44B","1.27%"
"02/01/2006","26.87","27.96","28.07","26.34","1.05B","-4.55%"
"01/01/2006","28.15","26.25","28.38","26.10","1.39B","7.65%"
"12/01/2005","26.15","27.73","28.10","26.10","1.27B","-5.53%"
"11/01/2005","27.68","25.61","28.25","25.61","1.45B","7.70%"
"10/01/2005","25.70","25.71","25.80","24.25","1.45B","-0.12%"
"09/01/2005","25.73","27.38","27.39","25.12","1.35B","-6.03%"
"08/01/2005","27.38","25.81","27.94","25.76","1.45B","6.91%"
"07/01/2005","25.61","24.85","26.48","24.50","1.33B","3.10%"
"06/01/2005","24.84","25.73","26.00","24.82","1.32B","-3.72%"
"05/01/2005","25.80","25.23","26.09","24.64","1.27B","1.98%"
"04/01/2005","25.30","24.24","25.45","23.94","1.53B","4.68%"
"03/01/2005","24.17","25.19","25.79","23.82","1.57B","-3.93%"
"02/01/2005","25.16","26.25","26.50","25.13","1.37B","-4.26%"
"01/01/2005","26.28","26.80","27.10","25.64","1.53B","-1.65%"
"12/01/2004","26.72","26.95","27.44","26.68","1.83B","-0.34%"
"11/01/2004","26.81","28.15","30.20","26.10","1.75B","-4.15%"
"10/01/2004","27.97","27.81","28.89","27.42","1.30B","1.16%"
"09/01/2004","27.65","27.24","27.79","26.74","1.14B","1.28%"
"08/01/2004","27.30","28.29","28.55","25.95","1.09B","-4.18%"
"07/01/2004","28.49","28.68","29.89","27.25","1.55B","-0.25%"
"06/01/2004","28.56","26.11","28.80","25.86","1.54B","8.88%"
"05/01/2004","26.23","26.21","26.60","25.42","1.14B","0.38%"
"04/01/2004","26.13","24.95","27.72","24.85","1.56B","4.81%"
"03/01/2004","24.93","26.65","26.72","24.01","1.70B","-6.03%"
"02/01/2004","26.53","27.63","27.80","26.35","1.03B","-4.05%"
"01/01/2004","27.65","27.58","28.83","27.26","1.23B","1.02%"
"12/01/2003","27.37","25.90","27.55","25.50","1.48B","6.46%"
"11/01/2003","25.71","26.35","26.75","24.84","1.45B","-1.64%"
"10/01/2003","26.14","28.03","29.46","25.91","1.41B","-5.97%"
"09/01/2003","27.80","26.70","30.00","26.47","1.26B","4.83%"
"08/01/2003","26.52","26.33","26.95","25.43","968.17M","0.42%"
"07/01/2003","26.41","25.59","27.81","25.39","1.30B","3.00%"
"06/01/2003","25.64","24.98","26.51","23.60","1.58B","4.19%"
"05/01/2003","24.61","25.54","26.50","23.89","1.31B","-3.72%"
"04/01/2003","25.56","24.47","26.43","23.95","1.25B","5.58%"
"03/01/2003","24.21","24.02","26.90","22.55","1.37B","2.15%"
"02/01/2003","23.70","23.96","24.99","23.00","1.35B","-0.13%"
"01/01/2003","23.73","26.15","28.66","23.52","1.73B","-8.20%"
"12/01/2002","25.85","29.32","29.48","25.63","1.27B","-10.37%"
"11/01/2002","28.84","26.21","29.32","25.95","1.55B","7.89%"
"10/01/2002","26.73","22.12","27.04","21.59","2.48B","22.22%"
"09/01/2002","21.87","24.26","25.55","21.56","1.70B","-10.88%"
"08/01/2002","24.54","23.79","26.73","21.90","1.72B","2.29%"
"07/01/2002","23.99","27.06","27.46","20.70","2.44B","-12.29%"
"06/01/2002","27.35","25.50","28.22","24.59","1.84B","7.47%"
"05/01/2002","25.45","26.08","28.22","24.18","1.42B","-2.60%"
"04/01/2002","26.13","29.91","30.20","25.72","1.42B","-13.36%"
"03/01/2002","30.16","29.52","32.50","29.16","1.07B","3.39%"
"02/01/2002","29.17","32.08","32.25","28.57","1.13B","-8.44%"
"01/01/2002","31.86","33.33","35.31","30.66","1.36B","-3.80%"
"12/01/2001","33.12","31.91","34.95","31.90","977.23M","3.18%"
"11/01/2001","32.10","30.04","34.17","29.80","1.33B","10.42%"
"10/01/2001","29.07","25.47","31.82","25.20","1.75B","13.60%"
"09/01/2001","25.59","28.59","29.54","23.75","1.51B","-10.27%"
"08/01/2001","28.52","33.40","33.77","28.15","1.15B","-13.81%"
"07/01/2001","33.09","36.02","36.58","32.10","1.46B","-9.34%"
"06/01/2001","36.50","34.80","38.08","33.01","1.45B","5.52%"
"05/01/2001","34.59","33.83","36.08","33.62","1.78B","2.10%"
"04/01/2001","33.88","27.41","35.55","25.53","2.08B","23.92%"
"03/01/2001","27.34","29.28","30.56","24.88","1.90B","-7.32%"
"02/01/2001","29.50","30.41","32.53","26.94","1.54B","-3.37%"
"01/01/2001","30.53","22.06","32.38","21.44","2.01B","40.76%"
"12/01/2000","21.69","29.03","30.31","20.12","2.27B","-24.40%"
"11/01/2000","28.69","34.25","36.19","28.50","1.98B","-16.70%"
"10/01/2000","34.44","30.25","35.06","24.22","2.47B","14.19%"
"09/01/2000","30.16","35.00","36.03","29.31","1.43B","-13.61%"
"08/01/2000","34.91","34.97","37.44","34.06","1.22B","0.00%"
"07/01/2000","34.91","39.84","41.44","33.62","1.23B","-12.73%"
"06/01/2000","40.00","32.19","41.09","31.91","1.47B","27.88%"
"05/01/2000","31.28","36.44","37.00","30.19","1.34B","-10.32%"
"04/01/2000","34.88","47.22","48.25","32.50","2.26B","-34.34%"
"03/01/2000","53.12","44.81","57.50","44.47","2.03B","18.86%"
"02/01/2000","44.69","49.25","55.00","44.06","1.33B","-8.68%"
"01/01/2000","48.94","58.69","59.31","47.44","1.27B","-16.17%"
"12/01/1999","58.38","45.53","59.97","45.44","1.26B","28.25%"
"11/01/1999","45.52","46.62","47.25","42.19","1.47B","-1.64%"
"10/01/1999","46.28","45.09","47.62","42.53","1.06B","2.21%"
"09/01/1999","45.28","46.16","48.94","44.41","977.27M","-2.16%"
"08/01/1999","46.28","42.84","48.19","40.81","1.35B","7.85%"
"07/01/1999","42.91","44.94","50.38","42.75","1.14B","-4.83%"
"06/01/1999","45.09","40.31","45.12","38.06","887.45M","11.77%"
"05/01/1999","40.34","40.69","40.91","37.75","1.12B","-0.79%"
"04/01/1999","40.66","45.62","47.81","39.94","1.16B","-9.26%"
"03/01/1999","44.81","37.39","47.31","36.77","1.57B","19.40%"
"02/01/1999","37.53","43.86","43.98","36.00","1.60B","-14.22%"
"01/01/1999","43.75","34.90","43.78","34.00","1.47B","26.19%"
"12/01/1998","34.67","30.06","36.00","30.03","1.10B","13.67%"
"11/01/1998","30.50","26.59","32.57","26.19","1.16B","15.22%"
"10/01/1998","26.47","27.02","27.53","21.94","1.64B","-3.82%"
"09/01/1998","27.52","23.81","28.66","23.62","1.19B","14.76%"
"08/01/1998","23.98","27.28","28.44","23.94","1.35B","-12.74%"
"07/01/1998","27.48","27.28","29.91","26.34","1.23B","1.44%"
"06/01/1998","27.09","20.97","27.14","20.78","1.23B","27.78%"
"05/01/1998","21.20","22.55","22.75","20.47","1.10B","-5.90%"
"04/01/1998","22.53","22.45","24.78","21.66","1.02B","0.67%"
"03/01/1998","22.38","21.47","22.73","19.72","1.10B","5.62%"
"02/01/1998","21.19","18.97","21.50","18.81","1.40B","13.62%"
"01/01/1998","18.65","16.20","18.77","15.55","1.49B","15.41%"
"12/01/1997","16.16","17.74","18.33","14.75","1.44B","-8.65%"
"11/01/1997","17.69","16.45","17.78","16.12","915.97M","8.86%"
"10/01/1997","16.25","16.56","17.45","15.44","1.53B","-1.75%"
"09/01/1997","16.54","16.64","17.53","16.33","1.15B","0.12%"
"08/01/1997","16.52","17.67","18.08","16.38","1.17B","-6.51%"
"07/01/1997","17.67","15.80","18.84","15.41","1.69B","11.84%"
"06/01/1997","15.80","15.62","16.87","14.78","970.07M","1.94%"
"05/01/1997","15.50","15.25","16.13","14.36","1.30B","2.04%"
"04/01/1997","15.19","11.27","15.33","11.22","1.91B","32.55%"
"03/01/1997","11.46","12.12","12.62","10.94","1.48B","-5.99%"
"02/01/1997","12.19","12.83","12.94","11.75","1.30B","-4.39%"
"01/01/1997","12.75","10.39","12.91","10.09","1.57B","23.43%"
